MOF,Density_g_cm^3,POAVF__,Cp_J_g_K,Henry_mol_kg_Pa_CO2,Henry_mol_kg_Pa_N2,T_ref_K_CO2,T_ref_K_N2,Uptake_mean_CO2,Uptake_mean_N2,Heat_mean_CO2,Heat_mean_N2,Uptake_max_CO2,Uptake_max_N2,Heat_max_CO2,Heat_max_N2,Uptake_min_CO2,Uptake_min_N2,Heat_min_CO2,Heat_min_N2,Uptake_first_CO2,Uptake_first_N2,Heat_first_CO2,Heat_first_N2,Uptake_last_CO2,Uptake_last_N2,Heat_last_CO2,Heat_last_N2,Henry_selectivity_CO2_N2,Uptake_mean_selectivity_CO2_N2,Uptake_max_selectivity_CO2_N2,Uptake_sat_mol_kg,Henry_mol_kg_Pa,Heat_henry_kJ_mol,Uptake_des_mol_kg,Heat_des_kJ_mol,Uptake_CO2_bin_mol_kg,Uptake_CO2_ter_mol_kg,WRC__,nCAC
1642_lvt+N174+278_charge,0.7622,0.4617,1.0263,0.014388,1.11e-05,298.15,298.15,1.728599033472298,6.980118400407439,-35.901572967621924,-16.110374313220806,2.9599267339976,11.569493291156,-29.02831293968474,-13.936098698257409,0.025747393289025002,0.093093314301588,-54.402075093730836,-21.12053034553167,0.025747393289025002,0.093093314301588,-54.402075093730836,-21.12053034553167,2.9599267339976,11.569493291156,-29.02831293968474,-14.598651732123832,1296.216099439991,0.24764609055501835,0.2558389256563192,33.2787435,0.0852307,-55.22260017,2.095639814,-42.36122604,2.434371745,0.941618423,0.38680141,103.91038507427209
165_qtz+N520+39_charge,0.5222,0.8118,0.6872,0.0128822,2.08e-06,298.15,298.15,1.7384249914378558,26.362606667663382,-23.42957747352324,-11.160213040784798,2.5702655524712,45.112765667066,-17.200630509027906,-7.79727593399112,0.24468531533668,0.51789288620608,-49.69312028708743,-15.922103632047108,0.24468531533668,0.51789288620608,-49.69312028708743,-10.117467279888434,2.5702655524712,45.112765667066,-17.200630509027906,-15.522120660052838,6193.362407037305,0.06594283385376144,0.05697424031680533,86.20038,1950000000000.0,-129.2107669,7.618453816,-41.72927,1.607630017,0.05042529,0.031366228,-416.93646766977145
1808_pcu+N668+2161_charge,0.5926,0.7289,0.8263,0.241872,3.46e-06,298.15,298.15,1.7307169296173044,19.257657846885085,-26.70467498246776,-12.229726984429764,2.4493175690743,29.902669877348,-23.758008462423707,-10.66447247390949,0.82443176170009,0.63764844757598,-45.54492338965394,-14.362610871710423,0.82443176170009,0.63764844757598,-45.54492338965394,-11.324958151119404,2.4493175690743,29.902669877348,-23.783694540416306,-14.165431635603976,69905.18210832888,0.089871621117059,0.08190966154930653,68.105715,281321.0,-89.93219124,10.01615037,-43.43583,1.929193208,0.053069744,0.027508776,319.19419961473955
1810_dmp+N398+39_charge,1.4947,0.3596,0.7409,0.00490009,1.83e-06,298.15,298.15,1.6630863275806604,3.033638741744484,-37.593014351397954,-16.176929757553143,2.3963278030496,4.7234099380156,-33.75761262211143,-14.586559019706522,0.057120511285963,0.10159999550733,-50.051212163815165,-17.507227691832664,0.057120511285963,0.10159999550733,-50.051212163815165,-17.311258554688276,2.3963278030496,4.7234099380156,-34.77374809719414,-16.423434974846163,2677.643345550084,0.5482150213521336,0.5073300506404571,13.0683075,22616.4,-96.6621279,7.789053009,-55.56002,2.000289319,0.007592553,0.003795727,103.52728725655057
188_dmp+N520+94_charge,1.2456,0.4088,0.7442,0.00400664,3.63e-06,298.15,298.15,1.7381844880997008,4.052840700767936,-32.443970591452846,-15.65366850724021,2.7491806109381,5.8089872936709,-28.077145715806047,-14.079342448823132,0.09422432948368101,0.26243046844432,-51.20042487533071,-17.33142079436685,0.09422432948368101,0.26243046844432,-51.20042487533071,-17.33142079436685,2.7491806109381,5.8089872936709,-28.077145715806047,-14.372069262103592,1103.7572716922116,0.4288805350207619,0.47326331974128394,18.0193515,128289000.0,-114.445911,2.220535889,-44.87201,1.748622286,0.220603504,0.126158465,112.93891893962392
199_dmp+N520+244_charge,0.4875,0.7917,0.7563,0.00162491,2.43e-06,298.15,298.15,1.440907949101119,25.48808798549775,-22.721535770594215,-11.254764535803114,2.7941161198457003,46.000672586887,-16.57026621277981,-8.147183719928798,0.015321371808187002,0.2846673962993,-49.64501217092726,-16.031060440757834,0.015321371808187002,0.2846673962993,-49.64501217092726,-8.21267177050703,2.7941161198457003,46.000672586887,-16.57026621277981,-15.626637337192927,668.6869676185319,0.056532602599336304,0.060740766660923415,90.035985,70781200.0,-108.728262,4.003227096,-43.53554,0.815872279,0.170203827,0.208615774,-299.8327806742069
200_dmp+N520+246_charge,0.8193,0.6244,0.7393,0.0443475,4e-06,298.15,298.15,1.0664066863704007,9.72449949386241,-30.769827897970643,-13.204826092154017,1.5369205137461002,15.67748044356,-25.352902868223584,-12.656040294467058,0.055056952015177005,0.20075221260835,-54.46272409644498,-14.304404738638535,0.055056952015177005,0.20075221260835,-54.46272409644498,-14.304404738638535,1.5369205137461002,15.67748044356,-25.352902868223584,-13.363429694516896,11086.872228281942,0.10966185838596121,0.09803364254090578,42.064782,115000000000.0,-127.0882017,3.269500651,-39.8207,1.738238075,0.107247096,0.061698738,-1110.2264511820758
309_bcu+N647+383_charge,0.8312,0.5795,0.8793,0.00835796,3.6e-06,298.15,298.15,1.041355363131294,9.656628152321504,-26.654269922582767,-12.862247011940992,1.6478663380693002,15.018843013963,-20.82724043991757,-12.167247084656399,0.11601982374837,0.34727502348481,-50.09750190100047,-14.349008558688215,0.11601982374837,0.34727502348481,-50.09750190100047,-14.349008558688215,1.6478663380693002,15.018843013963,-20.82724043991757,-12.905709915678239,2321.654910651414,0.10783840349913844,0.10971992559860777,38.515779,3695760.0,-105.4852732,1.46881383,-31.84146,1.090949958,0.098771202,0.090536877,-442.4989673088858
311_dmp+N520+292_charge,1.5775,0.3362,0.585,0.0349877,1.36e-06,298.15,298.15,1.1119481910254319,2.790077507294373,-44.287771394065565,-15.215576480047634,1.5083205151599999,3.9935187239047,-39.19261334080428,-13.413744894122614,0.12426799251006,0.24857517082777,-58.92323934421243,-19.97324606158476,0.12426799251006,0.24857517082777,-58.92323934421243,-19.97324606158476,1.5083205151599999,3.9935187239047,-39.19261334080428,-13.6646126635385,25726.231083653613,0.3985366672137094,0.37769211050170004,11.478621,1390190000.0,-121.8737174,2.853892575,-43.56648,1.818133307,0.261099935,0.143608796,-600.913387869102
315_dia+N520+225_charge,0.3055,0.8458,0.843,0.00567688,3.17e-06,298.15,298.15,4.51462139609597,42.8839930572881,-23.67016464990186,-10.65243872346,10.241015953731,86.320060668675,-16.203428626137253,-6.705600222125246,0.11431881492026,0.13996528299799,-48.605579294283004,-16.047537377124417,0.11431881492026,0.13996528299799,-48.605579294283004,-8.009332309936852,10.241015953731,86.320060668675,-16.268493766566667,-15.676116186129493,1790.8133152008468,0.10527521049788549,0.11864004582943119,153.54963,109086000.0,-110.4419814,6.174847928,-38.38425,1.268255128,0.151473133,0.119434276,-2810.090699034452
